customer_id,customer_type,tariff_class,daya_terpasang_va,tarif_rp_per_kwh,region,base_consumption_kwh,tanggal_pasang
CUST_00001,Bisnis Menengah,B2,41500,1699,Denpasar,1489.99,2021-12-30
CUST_00002,Rumah Tangga,R1/2200VA,2200,1444,Medan,179.67,2021-01-16
CUST_00003,Industri Kecil,I1,13900,1444,Denpasar,340.66,2023-05-13
CUST_00004,Bisnis Kecil,B1,5500,1444,Palembang,366.67,2023-08-22
CUST_00005,Rumah Tangga,R1/900VA,900,1352,Semarang,126.34,2021-05-04
CUST_00006,Sosial,S2,3500,1352,Denpasar,288.81,2018-05-03
CUST_00007,Bisnis Menengah,B2,41500,1699,Makassar,1541.46,2020-05-21
CUST_00008,Industri Kecil,I1,13900,1444,Semarang,399.62,2018-10-28
CUST_00009,Rumah Tangga,R1/900VA,900,1352,Surabaya,62.72,2020-08-28
CUST_00010,Rumah Tangga,R1/2200VA,2200,1444,Denpasar,187.8,2022-04-21
CUST_00011,Rumah Tangga,R1/1300VA,1300,1444,Makassar,184.72,2018-04-28
CUST_00012,Industri Besar,I3/I4,1000000,997,Palembang,18027.37,2019-07-20
CUST_00013,Bisnis Kecil,B1,5500,1444,Medan,555.74,2015-05-30
CUST_00014,Industri Kecil,I1,13900,1444,Palembang,1186.11,2021-08-16
CUST_00015,Rumah Tangga,R1/2200VA,2200,1444,Jakarta,345.94,2019-05-29
CUST_00016,Rumah Tangga,R1/1300VA,1300,1444,Jakarta,212.95,2019-02-19
CUST_00017,Rumah Tangga,R2/5500VA,5500,1699,Makassar,282.32,2019-10-16
CUST_00018,Rumah Tangga,R1/900VA,900,1352,Semarang,52.4,2016-12-08
CUST_00019,Industri Kecil,I1,13900,1444,Palembang,574.02,2020-05-18
CUST_00020,Bisnis Kecil,B1,5500,1444,Medan,398.8,2021-09-13
CUST_00021,Bisnis Menengah,B2,41500,1699,Semarang,784.26,2018-02-22
CUST_00022,Rumah Tangga,R1/1300VA,1300,1444,Makassar,196.87,2016-03-06
CUST_00023,Sosial,S2,3500,1352,Denpasar,277.36,2018-06-24
CUST_00024,Industri Menengah,I2,200000,1115,Semarang,3803.35,2016-10-14
CUST_00025,Bisnis Menengah,B2,41500,1699,Medan,914.09,2018-05-13
CUST_00026,Rumah Tangga,R1/900VA,900,1352,Denpasar,62.79,2020-08-21
CUST_00027,Rumah Tangga,R1/2200VA,2200,1444,Jakarta,156.87,2016-01-08
CUST_00028,Rumah Tangga,R1/900VA,900,1352,Denpasar,116.67,2021-09-20
CUST_00029,Rumah Tangga,R1/900VA,900,1352,Bandung,92.58,2017-01-07
CUST_00030,Bisnis Kecil,B1,5500,1444,Surabaya,480.81,2023-01-18
CUST_00031,Bisnis Menengah,B2,41500,1699,Palembang,1162.46,2021-08-03
CUST_00032,Sosial,S2,3500,1352,Semarang,198.8,2017-06-14
CUST_00033,Rumah Tangga,R1/1300VA,1300,1444,Denpasar,130.73,2020-01-25
CUST_00034,Rumah Tangga,R1/1300VA,1300,1444,Semarang,184.0,2015-12-30
CUST_00035,Rumah Tangga,R1/2200VA,2200,1444,Semarang,297.64,2015-11-24
CUST_00036,Rumah Tangga,R1/900VA,900,1352,Surabaya,58.61,2023-08-07
CUST_00037,Rumah Tangga,R1/900VA,900,1352,Jakarta,124.74,2022-03-20
CUST_00038,Rumah Tangga,R1/2200VA,2200,1444,Jakarta,147.75,2016-05-22
CUST_00039,Rumah Tangga,R1/1300VA,1300,1444,Surabaya,204.42,2017-07-17
CUST_00040,Bisnis Kecil,B1,5500,1444,Jakarta,195.18,2016-10-11
CUST_00041,Rumah Tangga,R1/2200VA,2200,1444,Makassar,180.84,2018-07-22
CUST_00042,Industri Kecil,I1,13900,1444,Palembang,1061.83,2017-08-15
CUST_00043,Bisnis Kecil,B1,5500,1444,Denpasar,230.77,2017-12-13
CUST_00044,Rumah Tangga,R1/1300VA,1300,1444,Medan,132.04,2019-10-06
CUST_00045,Industri Kecil,I1,13900,1444,Denpasar,704.87,2016-09-13
CUST_00046,Industri Kecil,I1,13900,1444,Denpasar,520.73,2022-12-10
CUST_00047,Rumah Tangga,R1/1300VA,1300,1444,Palembang,176.54,2021-07-18
CUST_00048,Rumah Tangga,R1/1300VA,1300,1444,Medan,197.7,2021-11-03
CUST_00049,Bisnis Kecil,B1,5500,1444,Surabaya,543.56,2016-07-10
CUST_00050,Rumah Tangga,R1/900VA,900,1352,Denpasar,70.54,2021-05-15
CUST_00051,Rumah Tangga,R1/900VA,900,1352,Bandung,87.78,2022-07-10
CUST_00052,Rumah Tangga,R1/900VA,900,1352,Medan,62.36,2016-07-29
CUST_00053,Industri Kecil,I1,13900,1444,Jakarta,520.32,2021-10-03
